Agent1,Agent2,wrTu1sq,wrTu1ac1,wrTu1ac2,wrTu1neg,wrTu1cp1,wrTu1cp2,wrTu1wr1,wrTu1wr2,wrTu2sq,wrTu2ac2,wrTu2ac1,wrTu2neg,wrTu2cp2,wrTu2cp1,wrTu2wr2,wrTu2wr1,groundtruth
USA,CUB,-0.153972,-1.130592,0.881623,0.851597,-1.145514,1.033297,0.995811,0.98835,-0.190695,-1.151616,0.842011,-1.087134,-2.119272,0.846991,-1.565982,-2.049809,Cap2
ITA,FRA,0.670288,-0.17893,1.35305,0.326916,-0.848739,1.131727,-0.229311,-0.564216,0.403519,-0.410134,1.12457,0.031665,-1.122262,0.931613,-0.517356,-0.87342,Cap2
EGY,DEU,0.85872,-0.887697,1.846798,-0.862351,-1.878428,1.838838,-1.365676,-1.861041,-0.35104,-1.484148,0.996076,0.943956,-1.505162,0.155401,0.092774,0.082267,Cap2
RUS,TUR,0.237551,-1.014625,1.35838,0.749067,-1.271394,1.181825,0.444127,0.315743,-0.183285,-1.245809,0.965042,-0.722004,-2.008885,0.908761,-1.159823,-1.541361,Cap2
RUS,KOR,0.085905,-1.055095,1.185518,0.051453,-1.561235,1.143093,-0.244042,-0.497112,0.001217,-1.103839,1.105706,-0.075489,-1.638427,1.065725,-0.382764,-0.650058,Cap2
IRQ,KWT,-0.493189,-0.515333,-0.470953,-0.482197,-0.768707,-0.102725,-0.240657,-0.367343,0.050962,0.024573,0.077337,0.038423,-0.712944,0.206791,-0.200882,-0.569641,Cap2
ECU,USA,-0.454242,-0.888046,0.01463,-0.758685,-1.744738,0.079726,-1.121934,-1.55028,-0.50783,-0.929943,-0.047829,-0.091705,-0.979682,0.383819,0.315073,0.290203,Cap2
xxx,xxx,0.078574,-1.510046,1.589599,-0.359175,-2.138754,1.560425,-0.702703,-1.017058,0.790174,-1.232296,1.902424,-0.897266,-2.125419,1.894026,-1.352225,-1.798787,Cap2
GBR,DEU,-0.190466,-1.312167,1.03237,-0.037434,-1.768464,1.135927,-0.162025,-0.390173,0.104141,-1.165599,1.311557,0.110174,-1.650583,1.409649,-0.034225,-0.276717,Cap2
ETH,DEU,-0.253092,-1.340804,0.964947,-1.326594,-2.334641,0.966507,-1.821952,-2.318871,0.82325,-0.724879,1.775827,1.725611,-0.744959,2.023836,1.96358,1.95354,Cap2
SLE,LBR,0.104853,0.103832,0.105874,0.104956,-0.345763,0.048163,-0.177553,-0.40235,0.424067,0.423008,0.425125,0.423959,-0.127671,0.378013,0.101507,-0.173832,Cap2
DEU,VEN,-0.25659,-1.294532,0.900338,0.128045,-1.646394,1.066643,0.11842,-0.057511,-0.497895,-1.409957,0.617111,0.070406,-1.679659,0.804498,0.122942,-0.011909,Cap2
RUS,GRC,0.386353,-0.847479,1.421151,0.875756,-1.087886,1.12768,0.462081,0.341878,0.109999,-1.021085,1.189503,-0.716853,-1.88346,1.136331,-1.201212,-1.6324,Cap2
USA,LBY,0.518689,-1.530523,1.886191,-0.669276,-2.278454,1.755446,-1.173987,-1.547952,0.074225,-1.648898,1.708576,-0.409782,-2.279836,1.517148,-0.91668,-1.232149,Cap2
GBR,RUS,0.810439,-1.248896,1.913074,-0.94981,-2.154307,1.836416,-1.479174,-1.931879,-0.469199,-1.682393,1.127884,0.576765,-1.878502,0.47638,-0.172794,-0.270849,Cap2
PER,USA,-0.481588,-0.88254,-0.048763,-0.500907,-1.424824,0.171668,-0.551619,-0.822761,-0.478343,-0.879953,-0.045009,-0.236321,-1.109083,0.326232,0.020356,-0.09421,Cap2
MMR,THA,0.181454,-0.913448,1.198587,-0.250956,-1.599774,1.141669,-0.651037,-0.994199,-0.069355,-1.068805,0.956972,0.212387,-1.436361,0.842212,-0.08615,-0.269928,Cap2
MEX,DEU,-0.670436,-1.601414,0.60174,0.212207,-1.778221,1.153638,0.675702,0.587299,0.229656,-1.236642,1.520056,-0.125632,-1.83362,1.790257,-0.15392,-0.452409,Cap2
RUS,GRC,0.426334,-0.854519,1.473215,1.114805,-1.008493,1.112526,0.677128,0.600141,0.10479,-1.05306,1.210959,-0.857465,-1.966668,1.174127,-1.351101,-1.807905,Cap2
USA,MEX,-0.035307,-1.097371,1.042111,0.674151,-1.269357,1.071345,0.617392,0.531399,-0.129136,-1.150664,0.946287,-0.659124,-1.916257,0.954563,-1.033644,-1.416441,Cap2
DEU,SWE,0.172026,-1.028498,1.283308,0.960804,-1.168001,1.13528,0.743025,0.673273,0.00222,-1.125603,1.128963,-0.875637,-2.014732,1.10989,-1.339274,-1.783839,Cap2
GBR,COL,0.338058,-1.101237,1.538311,1.300131,-1.191472,1.230758,0.947461,0.902343,-0.247136,-1.384517,1.030781,-1.19041,-2.304151,1.003613,-1.677395,-2.137212,Cap2
RUS,IRN,0.564438,-0.724825,1.548364,1.30397,-0.832337,1.044609,0.74646,0.692704,-0.29979,-1.250958,0.768528,-1.097168,-2.174805,0.725544,-1.602075,-2.063999,Cap2
GBR,NLD,0.053216,-1.090562,1.170893,0.623576,-1.332581,1.130556,0.462229,0.34122,-0.061915,-1.154826,1.05997,-0.613345,-1.910343,1.04696,-1.004114,-1.381872,Cap2
PER,USA,-0.562021,-0.881199,-0.21895,-0.635282,-1.509863,-0.010252,-0.740916,-1.055248,-0.557696,-0.877616,-0.213997,-0.325025,-1.044924,0.253994,0.059312,-0.024342,Cap2
RUS,IRN,-0.027106,-1.116163,1.074343,-0.152528,-1.676249,1.086268,-0.420646,-0.700689,0.391304,-0.862437,1.437327,-0.045089,-1.507032,1.446961,-0.357753,-0.680051,Cap2
RUS,EST,0.358388,-0.298481,0.960861,0.479639,-0.680602,0.739421,0.067138,-0.123923,0.294146,-0.35403,0.898702,-0.052597,-1.113409,0.812467,-0.518522,-0.898211,Cap2
BGR,xxx,0.320402,-0.953999,1.415894,-0.793111,-1.886111,1.394143,-1.280919,-1.746975,0.715296,-0.689965,1.677594,1.144066,-0.915314,1.429395,0.783192,0.670517,Cap2
BGR,xxx,0.026024,-1.118016,1.157149,0.911793,-1.225857,1.133932,0.834655,0.780735,-0.014281,-1.140324,1.118735,-0.899938,-2.033914,1.115966,-1.349502,-1.796297,Cap2
CHN,USA,0.661517,-0.755555,1.659446,-0.41933,-1.616331,1.567348,-0.941817,-1.372205,-0.566009,-1.438957,0.526982,0.246258,-1.581751,-0.040074,-0.392195,-0.463592,Cap2
USA,xxx,-0.50735,-1.373571,0.543257,0.376586,-1.460523,1.006493,0.796345,0.752869,0.094262,-1.052387,1.195173,-0.689023,-1.890717,1.277196,-1.026165,-1.445329,Cap2
RUS,CHN,0.148032,-1.033754,1.254839,0.317988,-1.443111,1.167405,0.025876,-0.178803,-0.006174,-1.12214,1.112739,-0.356415,-1.779515,1.06202,-0.735821,-1.064509,Cap2
CHN,USA,0.068247,-1.111568,1.212547,-0.185276,-1.713011,1.185346,-0.513198,-0.813919,-0.286209,-1.297816,0.852922,0.235479,-1.5849,0.804268,0.043283,-0.100259,Cap2
RUS,FRA,-0.257548,-1.677296,1.417151,0.138116,-2.090628,1.568246,0.082545,-0.124121,0.806368,-1.348337,1.931827,-0.957046,-2.229047,1.96255,-1.366678,-1.807033,Cap2
GBR,PRY,-0.009409,-1.16077,1.146759,1.028272,-1.212118,1.155686,1.011524,0.98585,0.016703,-1.146661,1.171441,-1.029049,-2.095925,1.171919,-1.503204,-1.977836,Cap2
ITA,TUR,-0.440102,-1.354386,0.646668,0.516296,-1.419538,1.058097,0.895149,0.862573,0.278002,-0.962795,1.36978,-0.751085,-1.872033,1.409725,-1.165759,-1.620378,Cap2
PER,CHL,-0.063009,-1.079177,0.978388,-0.283841,-1.692634,1.002743,-0.566214,-0.872943,-0.181574,-1.147923,0.853659,0.324313,-1.412387,0.900005,0.238427,0.106195,Cap2
COD,ZMB,-0.705495,-1.446243,0.244996,-0.952109,-2.15407,0.451123,-1.099896,-1.45381,-0.545811,-1.367264,0.456126,0.376465,-1.410952,1.130799,1.029295,1.007451,Cap2
CHN,IND,0.195743,-0.960771,1.258901,0.353482,-1.368677,1.143002,0.033631,-0.170322,-0.251634,-1.219262,0.815356,-0.33116,-1.782766,0.729915,-0.698354,-0.980106,Cap2
MEX,JPN,-0.670436,-1.601414,0.60174,0.437244,-1.676078,1.222119,1.020292,0.98296,0.582492,-1.05504,1.730797,-0.756549,-1.947894,1.802631,-1.131141,-1.577569,Cap2
GBR,TUR,-0.134718,-1.175209,0.964461,0.352195,-1.461359,1.060629,0.305288,0.162213,-0.293127,-1.2599,0.791999,-0.257459,-1.771357,0.857814,-0.447372,-0.7031,Cap2
ARG,BRA,-0.191671,-0.192622,-0.19072,-0.192253,-0.998201,-0.153455,-0.557777,-0.960566,-0.036675,-0.037667,-0.035684,-0.036069,-0.23201,0.118738,0.021181,-0.07599,Cap2
SYR,TUR,-0.376899,-1.806701,1.493307,0.459009,-2.120124,1.752078,0.561067,0.404356,0.917161,-1.532287,1.977646,-1.226237,-2.445092,2.01051,-1.649775,-2.106177,Cap2
USA,COL,-0.307509,-1.220032,0.714995,0.691559,-1.232143,1.018779,0.989288,0.983233,-0.203873,-1.162217,0.831277,-1.084874,-2.123419,0.843208,-1.553545,-2.034146,Cap2
USA,MEX,0.000274,-1.110957,1.111375,0.690963,-1.300133,1.111153,0.596153,0.501565,-0.130511,-1.183241,0.980422,-0.65795,-1.940462,0.980356,-1.036627,-1.415238,Cap2
RUS,UKR,0.081564,-0.982293,1.1114,0.600045,-1.226529,1.049756,0.416283,0.294165,0.032329,-1.012644,1.06408,-0.581763,-1.805163,1.047157,-0.994945,-1.391205,Cap2
ZAF,SWZ,0.256865,0.044754,0.464781,0.439267,-0.01599,0.223519,0.167633,0.137261,0.062606,-0.14163,0.265901,-0.118872,-1.085786,0.251557,-0.605294,-1.077372,Cap2
GBR,DNK,0.004938,-1.119071,1.126565,0.102752,-1.574983,1.123878,-0.127891,-0.355847,0.09851,-1.065947,1.213686,-0.123676,-1.652604,1.211645,-0.419046,-0.712374,Cap2
ZAF,SWZ,0.237345,0.0259,0.444944,0.420115,-0.033352,0.221662,0.167206,0.13758,0.030562,-0.17212,0.232792,-0.149766,-1.116912,0.219689,-0.635265,-1.10766,Cap2
GBR,MEX,0.024452,-1.068353,1.106236,0.646068,-1.279964,1.086958,0.520985,0.415179,-0.365986,-1.283558,0.688977,-0.666018,-1.970489,0.681322,-1.017138,-1.360603,Cap2
BRA,BOL,-0.138408,-1.124843,0.901805,0.797471,-1.176324,1.033087,0.903013,0.877272,-0.035684,-1.064773,1.007917,-0.909746,-1.989978,1.018269,-1.361996,-1.824598,Cap2
RUS,ROU,0.102794,-1.060431,1.214792,0.028141,-1.581985,1.165611,-0.281817,-0.542594,0.639743,-0.715926,1.620162,-0.168195,-1.481461,1.59606,-0.575064,-0.957831,Cap2
ARG,URY,-0.790944,-0.791669,-0.79022,-0.790394,-0.912032,-0.094476,-0.154832,-0.215013,-0.409358,-0.410239,-0.408477,-0.410026,-1.289576,-0.313039,-0.754257,-1.193926,Cap2
RUS,JPN,0.273912,-0.926556,1.336779,-0.34364,-1.669008,1.266234,-0.785411,-1.156638,-0.140166,-1.170126,0.949673,0.290323,-1.48117,0.76096,-0.053912,-0.209434,Cap2
GBR,BRA,0.602417,-0.73482,1.593067,0.797255,-1.07668,1.196593,0.22985,0.05892,-0.073853,-1.154316,1.040515,-0.823866,-2.003758,0.949816,-1.339286,-1.764007,Cap2
ARG,RUS,-0.792296,-1.601077,0.34004,0.14359,-1.702282,1.052152,0.8051,0.754498,0.1514,-1.192098,1.394928,-0.058585,-1.753945,1.742074,0.007638,-0.273285,Cap2
ZAF,BWA,0.321016,-0.830019,1.325496,1.08252,-0.942742,1.040666,0.741328,0.684966,-0.024595,-1.049234,1.009908,-0.852605,-1.953743,0.979254,-1.335514,-1.787769,Cap2
RWA,BDI,-0.744563,-1.498178,0.249265,-1.154171,-2.301315,0.395842,-1.409161,-1.81073,-0.623511,-1.442469,0.414202,0.310275,-1.498444,1.117088,0.985173,0.957186,Cap2
KOR,RUS,0.050658,-1.061085,1.138973,0.094749,-1.53572,1.112359,-0.169182,-0.4065,0.265816,-0.930699,1.329369,-0.189142,-1.602586,1.312747,-0.541708,-0.877651,Cap2
xxx,USA,0.209897,-1.422686,1.639025,-0.428678,-2.098028,1.57088,-0.834494,-1.172165,-0.723246,-1.712704,0.733639,0.552751,-1.786646,0.539262,0.321403,0.284432,Cap2
IRQ,JPN,0.385583,-1.100648,1.585955,-0.709151,-1.954926,1.529767,-1.192478,-1.619617,0.623767,-0.964786,1.722185,0.447813,-1.439065,1.519475,0.007964,-0.229175,Cap2
GBR,TUR,-0.223766,-1.245291,0.895923,0.795715,-1.292091,1.109217,0.98561,0.96221,0.2873,-0.957088,1.377218,-0.858979,-1.915059,1.386622,-1.32856,-1.807546,Cap2
SYR,USA,-0.538425,-1.82392,1.325521,-0.092382,-2.274128,1.621543,-0.021464,-0.246568,0.538242,-1.620601,1.922248,0.153088,-2.119962,2.191805,0.172964,-0.076716,Cap2
HND,DEU,-0.037985,-1.117553,1.058708,-1.035966,-2.080063,1.060132,-1.515797,-1.997053,-0.105414,-1.155287,0.99062,0.924514,-1.186093,1.027435,0.945925,0.930523,Cap2
GBR,NLD,0.16449,-1.032859,1.276745,0.778269,-1.248687,1.147757,0.541368,0.433454,0.005015,-1.123985,1.131574,-0.72764,-1.948265,1.10267,-1.168684,-1.580824,Cap2
RUS,TUR,0.247533,-0.966725,1.333569,0.994207,-1.114254,1.122554,0.709427,0.635663,-0.445416,-1.34715,0.626007,-0.93412,-2.137826,0.574192,-1.381273,-1.776611,Cap2
DEU,PRT,-0.143793,-1.397418,1.205391,0.642538,-1.613666,1.318089,0.647112,0.538988,0.257975,-1.217769,1.535903,-0.722958,-2.038078,1.561741,-1.107274,-1.517428,Cap2
DEU,IRL,0.042412,-1.103168,1.167029,0.819658,-1.256181,1.131106,0.707229,0.630722,0.098594,-1.07123,1.218621,-0.772798,-1.940902,1.213094,-1.213162,-1.647998,Cap2
SAU,JPN,-0.469995,-1.412012,0.674314,-1.307607,-2.361969,0.697834,-1.759066,-2.234044,0.623767,-0.813445,1.652817,1.511116,-0.870902,2.095808,1.925378,1.89665,Cap2
GBR,BRA,0.653095,-0.83586,1.688768,1.072038,-1.080146,1.195215,0.456342,0.334199,-0.106536,-1.266329,1.111334,-1.03246,-2.167968,1.047095,-1.547518,-1.998338,Cap2
ECU,USA,0.356936,-0.065394,0.756412,0.142834,-0.812016,0.665972,-0.320917,-0.694228,-0.552138,-0.864709,-0.217194,-0.356732,-1.080208,-0.497211,-0.744498,-0.852248,Cap2
PRY,DEU,0.968972,-0.728531,1.863786,-0.367293,-1.589181,1.72876,-0.932644,-1.362969,0.29762,-1.143248,1.524493,-0.338739,-1.841679,1.23228,-0.980166,-1.329381,Cap2
IRN,GBR,-0.083829,-1.151773,1.021819,-0.313212,-1.765978,1.05416,-0.587973,-0.895076,0.682867,-0.665252,1.636818,0.20267,-1.288234,1.668423,-0.077216,-0.388707,Cap2
xxx,TUR,0.377563,-0.983841,1.502738,0.84671,-1.247669,1.224787,0.436846,0.304932,-0.293127,-1.338715,0.893976,-0.80367,-2.099074,0.803496,-1.274329,-1.654508,Cap2
LBY,USA,-0.012732,-1.781376,1.773483,-0.932281,-2.542521,1.776524,-1.309813,-1.690385,0.464779,-1.698491,1.926987,-0.041661,-2.241494,1.932805,-0.307344,-0.578846,Cap2
RUS,JPN,0.265816,-0.931652,1.33011,-0.339495,-1.66984,1.260516,-0.778183,-1.147277,-0.107011,-1.151777,0.984157,0.283426,-1.479845,0.805547,-0.059219,-0.223252,Cap2
IDN,PNG,0.017963,-1.016065,1.044767,0.989848,-1.042714,1.027282,0.959039,0.945714,0.086156,-0.973903,1.110599,-0.929504,-1.952603,1.110216,-1.419237,-1.908587,Cap2
ETH,SDN,-0.689268,-1.414882,0.228399,0.218715,-1.420775,0.913605,0.900975,0.898028,-0.819082,-1.479615,0.048525,-1.360845,-2.401893,0.102096,-1.768412,-2.229551,Cap2
ROU,DEU,0.708003,0.565802,0.844394,0.693081,0.022669,0.52093,0.098052,-0.173515,0.270874,0.131555,0.40827,0.265062,-0.385975,0.06668,-0.335293,-0.594058,Cap2
SEN,GNB,-0.815453,-0.816166,-0.81474,-0.815027,-1.017592,-0.16354,-0.26454,-0.365253,-0.169464,-0.170421,-0.168506,-0.170035,-0.968619,-0.003946,-0.404573,-0.803672,Cap2
ESP,FRA,-0.040412,-1.157705,1.096518,-0.815598,-2.005942,1.102651,-1.233584,-1.657702,0.171738,-1.03825,1.291177,0.862788,-1.222154,1.324157,0.803816,0.711864,Cap2
DEU,PRT,0.042412,-1.204498,1.264215,0.345412,-1.576677,1.237588,0.132695,-0.053394,0.280984,-1.077839,1.459221,-0.45972,-1.834203,1.448888,-0.848235,-1.226417,Cap2
HUN,AUT,0.275269,-0.87945,1.30207,-0.155248,-1.547479,1.210688,-0.580643,-0.914658,0.356743,-0.825517,1.36876,0.233267,-1.342996,1.235937,-0.158295,-0.417035,War1
FRA,MAR,0.197122,-1.117336,1.389493,1.321982,-1.144266,1.19768,1.116704,1.103239,-0.418449,-1.417389,0.77931,-1.32736,-2.376405,0.771232,-1.814947,-2.294455,War1
ISR,LBN,-0.231098,-1.353396,1.017256,0.082801,-1.747572,1.15726,0.025718,-0.171371,0.204353,-1.140544,1.416945,-0.096744,-1.732409,1.511264,-0.298358,-0.594291,War1
TUR,SYR,0.849285,-1.3364,1.94075,0.158158,-1.880346,1.55343,-0.501135,-0.773107,-0.725353,-1.782666,0.906855,-0.305917,-2.233591,0.440534,-0.997701,-1.223164,War1
ITA,CHN,0.63289,-0.785577,1.647706,-0.457677,-1.650821,1.56242,-0.975585,-1.408206,0.434172,-0.915951,1.52105,0.021625,-1.531226,1.277562,-0.529501,-0.837139,War1
POL,DEU,0.608265,-0.366434,1.388099,0.06292,-1.121723,1.23925,-0.463574,-0.841218,0.172026,-0.709998,1.006285,0.113872,-1.229967,0.714299,-0.438099,-0.698083,War1
MRT,MLI,-0.153275,-1.30419,1.081991,-0.781991,-2.085347,1.115534,-1.139027,-1.529605,0.051521,-1.203846,1.276075,0.778371,-1.40454,1.398589,0.800538,0.700191,War1
NIC,CRI,0.706575,0.705522,0.707628,0.706757,0.292123,0.29315,0.08558,-0.121119,0.855726,0.854692,0.856758,0.855545,0.267325,0.565202,0.270305,-0.023378,War1
BOL,PRY,-0.685822,-0.795175,-0.573067,-0.630785,-1.055037,-0.065464,-0.253112,-0.383043,-0.193781,-0.329864,-0.056384,-0.242237,-1.009451,0.163362,-0.362285,-0.702078,War1
DEU,ESP,0.605581,-0.361561,1.381491,0.925097,-0.623397,0.934474,0.347162,0.216244,-0.13896,-0.924927,0.680255,-0.659156,-1.759356,0.579989,-1.176637,-1.593852,War1
PER,ECU,-0.083376,-1.088087,0.954207,0.351068,-1.383411,1.01296,0.262159,0.114497,-0.007423,-1.04293,1.031108,-0.338005,-1.703049,1.059445,-0.639727,-0.969787,War1
UGA,KEN,-0.680165,-1.405781,0.233407,-1.11132,-2.226143,0.35559,-1.399317,-1.809498,-0.103328,-1.089891,0.922755,0.753743,-1.173866,1.545803,1.334803,1.292815,War1
JPN,CHN,0.251262,-1.006512,1.369473,-0.853857,-1.942263,1.353329,-1.337876,-1.805752,0.482255,-0.863069,1.54046,1.020689,-1.079323,1.343534,0.715637,0.60751,War1
PAK,IND,-0.053956,-1.079673,0.993716,-0.736656,-1.914235,1.002643,-1.145011,-1.562292,-0.024249,-1.062122,1.023617,0.711622,-1.211707,1.069502,0.682715,0.607922,War1
KHM,LAO,0.264951,-0.861617,1.273994,0.226431,-1.352139,1.139007,-0.153816,-0.399077,0.080331,-0.980024,1.107392,-0.328223,-1.667771,1.02466,-0.754829,-1.098703,War1
TUR,IRN,-0.25318,-1.238901,0.83683,0.576465,-1.364334,1.058254,0.735172,0.672455,-0.343499,-1.286052,0.73417,-0.508608,-1.901221,0.831602,-0.718761,-1.026345,War1
VEN,GUY,-0.600033,-1.54065,0.63053,0.506395,-1.597824,1.196257,1.043536,1.014949,-0.574067,-1.530601,0.664309,-0.823348,-2.208377,0.857654,-0.96889,-1.307778,War1
FRA,THA,0.163117,-1.057965,1.296294,0.568094,-1.367277,1.183631,0.300775,0.146119,-0.182469,-1.245391,0.965905,-0.542966,-1.927738,0.914091,-0.935955,-1.277128,War1
PER,BRA,-0.21029,-1.165844,0.824242,-0.7631,-1.963469,0.8668,-1.119355,-1.518167,-0.138408,-1.124843,0.901805,0.695173,-1.2268,1.090654,0.833043,0.782064,War1
MNG,JPN,0.072597,-1.100383,1.208323,-0.903768,-2.015221,1.202141,-1.367369,-1.824787,0.442566,-0.87817,1.50662,1.163482,-1.022056,1.444469,1.029387,0.957444,War1
AFG,PAK,0.341073,-1.016457,1.484078,0.130046,-1.557954,1.327695,-0.297085,-0.567834,-0.21387,-1.308892,0.990232,-0.17783,-1.816938,0.82244,-0.599646,-0.853669,War1
CHL,ARG,-0.322658,-0.323569,-0.321747,-0.322953,-0.985467,-0.212656,-0.54481,-0.875759,-0.687583,-0.688354,-0.686812,-0.687333,-1.02593,-0.473076,-0.642384,-0.811172,War1
COL,ECU,-0.061239,-1.094737,0.997664,0.448615,-1.357139,1.042834,0.362584,0.231384,0.047569,-1.030459,1.104949,-0.45644,-1.761649,1.12141,-0.805573,-1.171168,War1
PAK,IND,-0.080104,-1.096287,0.968393,-0.718641,-1.913379,0.983045,-1.112536,-1.521082,-0.060105,-1.084594,0.988843,0.670891,-1.237939,1.056663,0.662038,0.585365,War1
SOM,ETH,-0.77821,-1.459961,0.107032,-0.222467,-1.670236,0.721604,0.286968,0.18183,-0.701679,-1.421715,0.212515,-0.299813,-1.735214,0.746758,0.077681,-0.079068,War1
FRA,MEX,0.732241,-0.867252,1.762698,1.036864,-1.14324,1.232546,0.368719,0.230725,-0.234841,-1.37914,1.043766,-1.079143,-2.255323,0.953102,-1.607898,-2.04599,War1
PRK,KOR,0.47802,-0.764165,1.475463,0.510219,-1.195149,1.203462,0.022725,-0.192767,-0.026489,-1.084012,1.042406,-0.474102,-1.797187,0.905298,-0.967798,-1.324385,War1
TUR,IRN,0.22149,-1.043844,1.361055,0.861679,-1.251494,1.185557,0.582357,0.478533,-0.467447,-1.398959,0.659558,-0.815989,-2.11576,0.596833,-1.237115,-1.595516,War1
DEU,RUS,0.042412,-0.605543,0.683884,0.230679,-0.95702,0.656379,0.027435,-0.148303,0.102794,-0.557031,0.746491,-0.15284,-1.246955,0.73334,-0.510953,-0.855915,War1
RUS,MDA,0.081564,-0.982293,1.1114,1.031739,-1.020341,1.032938,0.934254,0.91523,0.189073,-0.914355,1.210364,-0.855366,-1.886592,1.2081,-1.343749,-1.829868,War1
PER,ECU,-0.780112,-0.88332,-0.673313,-0.734523,-1.174785,-0.120577,-0.327519,-0.473252,-0.790099,-0.892638,-0.683952,-0.806198,-1.478429,-0.360823,-0.775966,-1.068861,War1
ISR,USA,-0.214526,-1.230409,0.893826,-0.545846,-1.908146,0.96296,-0.81558,-1.154448,0.570769,-0.757562,1.57305,0.545848,-1.198305,1.693026,0.445452,0.22508,War1
IRQ,EGY,-0.684618,-0.790128,-0.575954,-0.624618,-1.017347,-0.046894,-0.209167,-0.322777,-0.770042,-0.870204,-0.666561,-0.805174,-1.55087,-0.447939,-0.926885,-1.267218,War1
